pupil_id,a01,treatment,pre_theta_sd,post_theta_sd,ple_tried,ple_pass,books_with,b_homework_pp,b_fem_pp,b_elec_pp,b_cement_pp,b_radio_pp,b_edhigh_teacher,b_fem_teacher,decile,scores_top,decile_decile,baseline_score,endline_score
1013051.0,1013.0,1.0,0.4488142483223813,1.621455663159291,1,1,1,1,0,0,0,1,0,0,6.0,1,14000.0,32.0,48.0
1013057.0,1013.0,1.0,0.3861837765986638,1.4484743901215975,1,1,1,1,0,0,0,1,0,0,6.0,1,10000.0,34.0,48.0
1013063.0,1013.0,1.0,0.3409575342511555,0.035424146893024894,0,0,1,1,0,0,1,1,0,0,6.0,1,6000.0,32.0,30.0
1015007.0,1015.0,1.0,0.48442164792583553,0.1372585931995738,0,0,0,0,0,0,0,0,0,0,6.0,1,16000.0,32.0,34.0
1016003.0,1016.0,1.0,0.5380218118385633,0.6176527809157454,0,0,0,1,0,1,1,1,0,0,6.0,1,20000.0,34.0,38.0
1017001.0,1017.0,1.0,0.3961241944557924,0.22260258431406,1,1,0,1,1,1,1,0,0,0,6.0,1,10000.0,32.0,32.0
1017002.0,1017.0,1.0,0.49743823707042767,0.48324474518116634,1,1,0,1,1,0,1,1,0,0,6.0,1,18000.0,32.0,38.0
1017004.0,1017.0,1.0,0.3407070191828162,0.8075119175796535,1,1,0,1,1,0,1,1,0,0,6.0,1,6000.0,32.0,40.0
1017008.0,1017.0,1.0,0.2872602059216615,-0.5305527356967962,1,1,0,1,1,0,0,1,0,0,6.0,1,2000.0,28.0,24.0
1017022.0,1017.0,1.0,0.5014981855435392,0.06934418378675837,1,1,0,1,1,1,1,1,0,0,6.0,1,18000.0,30.0,30.0
1017038.0,1017.0,1.0,0.45407105384247,1.4479314459227846,1,1,0,1,0,0,1,0,0,0,6.0,1,14000.0,30.0,46.0
1017039.0,1017.0,1.0,0.4889528454914775,-0.7745265363997759,0,0,0,1,0,0,1,0,0,0,6.0,1,16000.0,32.0,22.0
1018006.0,1018.0,1.0,0.4462201221737555,0.8636311701055271,1,1,1,1,0,0,0,0,0,0,6.0,1,14000.0,32.0,40.0
1018016.0,1018.0,1.0,0.5089523374422394,0.623307836874695,1,1,1,1,1,0,1,1,0,0,6.0,1,18000.0,30.0,36.0
